product_id,sell_price,product_name_ar,category
1,74.5,دوف هاند ووش 450 مل,هاند ووش
2,95,دابر املا كريم شعر معالجة لتكثيف الشعر بنفسجى 125 مل,كريم شعر
3,19.25,دابر فاتيكا جل شعر سبلاش افيكت برطمان ازرق 100 مل,جل شعر
5,91,انشانتر سبراى مزيل عرق الورينج موف 75 مل,مزيل عرق سبراي
8,91,انشانتر سبراى مزيل عرق شارمينج اصفر 75 مل,مزيل عرق سبراي
9,12.75,كريستال جل 500 جم,جل شعر
10,20.5,كريستال شاور جل 1.5 لتر,شاور جل
11,31.25,كامى صابون فنتاج 120*4 خصم 15 %,صابون
12,115,جيليت فينوس 2 شفرة كيس 4 ماكينة,ماكينات حلاقة
13,260,هيد اند شولدرز شامبو انتعاش الليمون 400 مل,شامبو
14,123.25,هيد اند شولدرز بلسم منعش نعناع 360 مل,بلسم
15,260,هيد اند شولدرز شامبو نظيف وانيق 400 مل,شامبو
16,281.25,جيليت ماك ثرى جل حلاقة دقيقة وناعمة 200 مل,جل حلاقة
17,30.25,كامى صابون 4×120جم جمال الطبيعة خصم 15%,صابون
20,43.5,اولويز الماسية الترا مفرد طويل جدا 7 فوطة,فوط صحية
21,65.25,بارودونتكس معجون اسنان انتعاش زائد75 جم,معجون أسنان
23,170,بانتين بديل الزيت امتزاج الطبيعة 180 مل,بديل زيت
24,170,بانتين بديل الزيت علاج ملكى للتلف 180 مل,بديل زيت
27,32.75,كامى 2 صابونة فنتاج 175 جم عرض 10%خصم,صابون
28,23,ايفا سبوتلس صابون 20جرام,صابون
29,34.25,كرست معجون اسنان كومبليت 100 مل +كرست 50 مل,معجون أسنان
30,89,سباركل شامبو و بلسم شعر عادى احمر 700 مل,شامبو
34,58.5,جيليت بلو ثرى ماكينة 1 موس,ماكينات حلاقة
35,290,زيرو فريز بلسم نعومة الشعر 355مل,بلسم
36,300,جيليت ماك ثرى ماكينة 2 موس,ماكينات حلاقة
37,104.25,هيد اند شولدرز شامبو نعناع منعش 700 مل + 100 بديل الزيت مجانا,شامبو
38,210.25,بانتين شامبو ضد تساقط الشعر 400 مل خصم 15%,شامبو
39,104.25,هيد اند شولدرز شامبو نظيف وانيق 700مل+ بديل الزيت 100 مل مجانا,شامبو
40,33.75,هيد اند شولدرز شامبو نعناع منعش 90 مل,شامبو
41,39.25,فاين مطبخ بكر 2 رول,مناديل مطبخ
42,247.25,بانتين شامبو علاج ملكى 400 مل,شامبو
43,160,دوف بديل الزيت ضد تساقط الشعر 300 مل,بديل زيت
44,160,دوف بديل الزيت اصلاح مكثف 300 مل,بديل زيت
45,17.75,كلوس اب معجون اسنان احمر 25 جم,معجون أسنان
46,17.75,كلوس اب معجون اسنان اخضر 25 جم,معجون أسنان
47,57,كلوس اب معجون اسنان احمر 100 جم,معجون أسنان
48,57,كلوس اب ليمون ونعناع اصفر 100 مل,معجون أسنان
49,57,كلوس اب فاير+ فريز اكستريم كول 100 مل,معجون أسنان
50,80.25,كلوس اب معجون اسنان وايت ناو 75 مل,معجون أسنان
51,16.25,سيجنال معجون اسنان مكافح التسوس 25 مل خصم 25%,معجون أسنان
52,32.5,سيجنال معجون اسنان تفاح اخضر 50 مل خصم 15 %,معجون أسنان
53,62,سيجنال معجون اسنان مكافح التسوس 120 مل + 3 قلم هدية,معجون أسنان
54,80.5,سيجنال معجون اسنان الحساسة فريش 75 مل,معجون أسنان
55,67,سيجنال معجون اسنان كومبليت 8 اكشن 100 مل,معجون أسنان
56,105,دوف رول اون بودر سوفت 50 مل,رول اون
57,205,اكس سبراى بلاك رجالى 150 مل,مزيل عرق سبراي
58,177,ريكسونا سبراى حريمى بامبو 150 مل خصم 10 جنية,مزيل عرق سبراي
59,158,ريكسونا سبراى باودر حريمى 150 مل خصم 15 %,مزيل عرق سبراي
60,158,ريكسونا سبراى شاور كلين حريمى 150 مل خصم 15 %,مزيل عرق سبراي
61,158,ريكسونا سبراى سبورت ديفنس رجالى 150 مل خصم 15 %,مزيل عرق سبراي
62,158,ريكسونا سبراى اكسترا كول رجالى 150 مل خصم 15 %,مزيل عرق سبراي
63,150,ريكسونا سبراى V8 رجالى 150 مل خصم 20 %,مزيل عرق سبراي
64,43.75,بانتين بلسم ملكى شعر تالف 200 مل خصم 15%,بلسم
65,43.75,بانتين بلسم ضد تساقط الشعر 200 مل خصم 15%,بلسم
66,43.75,بانتين بلسم انسيابى وحريرى 200 مل خصم 15%,بلسم
67,35,دوف صابون ابيض 90 جم خصم 3 جنية,صابون
68,149.5,ان ليفن بلسم توت وتفاح 400 مل,بلسم
69,149.5,ان ليفن بلسم كيوى 400 مل,بلسم
70,149.5,ان ليفن شامبو وبلسم 2*1 400 مل,شامبو
71,149.5,ان ليفن شامبو وبلسم رجالى اسود 400 مل,شامبو
72,40,لوكس صابون 90 جم عرض 6 قطع خصم 1 جنية,صابون
73,98.25,بيو ماسك فحم انبوبة 150 مل,ماسك شعر
74,45.5,هيردو شاور جل كولاجين وزبدة الشيا 1.25 لتر,شاور جل
75,212.25,هاربيك منظف لدورات المياة باور اسود 700 مل,منظفات
76,70.25,فيبكس كريم حريمى احمر 25 جم خصم 10%,كريم شعر
79,176.5,ماش صن بلوك 45 برتقالى 125 مل,صن بلوك
81,119.75,ماش صن بلوك 45 برتقالى 60 مل,صن بلوك
82,235.25,ماش صن بلوك 95 اصفر 125 مل,صن بلوك
83,158.25,ماش صن بلوك 95 اصفر60 مل,صن بلوك
85,95,لوكس شاور جل اقتنى الجمال 500مل,شاور جل
91,175.25,دوف شاور جل مستورد 200 مل,شاور جل
100,145,كلير شامبو نعومة ولمعان حريمى ابيض 360 مل,شامبو
111,150,دوف شامبو شعر متساقط 400 مل,شامبو
114,15,وودز معطر جو ياسمين اخضر 300 مل,معطر جو
